0.746,MOTU_ID,Measurement_number,Cell_length,Cell_length_units,Cell_width,Cell_width_units,Cell_area,Cell_area_units,Gram_positive_or_negative,Endospore_yes_no,Endospore_type,Capsule_yes_no,
Maggie Chen,5,4,0.95,μm,0.95,μm,0.906,μm²,positive,no,n/a,no,
Maggie Chen,5,5,0.76,μm,0.76,μm,0.672,μm²,positive,no,n/a,no,
Maggie Chen,6,1,2.29,μm,0.9,μm,2.496,μm²,varible,yes,oval,no,
Maggie Chen,6,2,2.1,μm,0.75,μm,1.677,μm²,varible,yes,oval,no,
Maggie Chen,6,3,2.14,μm,1.01,μm,2.354,μm²,varible,yes,oval,no,
Maggie Chen,6,4,2.18,μm,0.6,μm,2.1,μm²,varible,yes,oval,no,
Maggie Chen,6,5,3.06,μm,0.78,μm,2.563,μm²,varible,yes,oval,no,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
carolyn_siu,2,1,4.03,μm,0.88,μm,4.137,μm²,,,,,
carolyn_siu,2,2,3.68,μm,0.83,μm,3.453,μm²,,,,,
carolyn_siu,2,3,3.68,μm,0.86,μm,3.758,μm²,,,,,
carolyn_siu,2,4,3.64,μm,0.76,μm,3.16,μm²,,,,,
carolyn_siu,2,5,3.47,μm,0.95,μm,3.153,μm²,,,,,
carolyn_siu,3,1,2.65,μm,0.69,μm,2.21,μm²,,,,,
carolyn_siu,3,2,2.26,μm,0.79,μm,2.504,μm²,,,,,
carolyn_siu,3,3,2.55,μm,0.79,μm,2.195,μm²,,,,,
carolyn_siu,3,4,2.6,μm,0.81,μm,2.045,μm²,,,,,
carolyn_siu,3,5,2.33,μm,0.75,μm,2.077,μm²,,,,,
carolyn_siu,4,1,1.13,μm,0.97,μm,0.953,μm²,,,,,
carolyn_siu,4,2,1.01,μm,1.05,μm,0.957,μm²,,,,,
carolyn_siu,4,3,1.09,μm,0.92,μm,0.93,μm²,,,,,
carolyn_siu,4,4,1.17,μm,1.14,μm,1.096,μm²,,,,,
carolyn_siu,4,5,0.97,μm,1.08,μm,0.934,μm²,,,,,
carolyn_siu,6,1,0.92,μm,0.8,μm,0.558,μm²,,,,,
carolyn_siu,6,2,1.11,μm,0.7,μm,0.684,μm²,,,,,
carolyn_siu,6,3,0.93,μm,0.61,μm,0.51,μm²,,,,,
carolyn_siu,6,4,0.84,μm,0.92,μm,0.526,μm²,,,,,
carolyn_siu,6,5,0.88,μm,0.96,μm,0.479,μm²,,,,,
carolyn_siu,1,1,1.34,μm,0.81,μm,1.092,μm²,,,,,
carolyn_siu,1,2,1.71,μm,0.82,μm,1.282,μm²,,,,,
carolyn_siu,1,3,1.81,μm,0.89,μm,1.598,μm²,,,,,
carolyn_siu,1,4,1.38,μm,0.82,μm,1.068,μm²,,,,,
carolyn_siu,1,5,1.48,μm,0.84,μm,1.052,μm²,,,,,
carolyn_siu,5,1,3.45,μm,1.04,μm,3.445,μm²,,,,,
carolyn_siu,5,2,3.68,μm,0.83,μm,3.805,μm²,,,,,
carolyn_siu,5,3,3.62,μm,1.11,μm,4.165,μm²,,,,,
carolyn_siu,5,4,3.18,μm,0.77,μm,2.717,μm²,,,,,
carolyn_siu,5,5,4.44,μm,0.92,μm,4.501,μm²,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Sarah Badawi,1,1,0.38,μm,0.32,μm,0.107,μm²,positive,no,,no,
Sarah Badawi,1,2,0.32,μm,0.33,μm,0.09,μm²,positive,no,,no,
Sarah Badawi,1,3,0.3,μm,0.26,μm,0.07,μm²,positive,no,,no,
Sarah Badawi,1,4,0.38,μm,0.32,μm,0.095,μm²,positive,no,,no,
Sarah Badawi,1,5,0.31,μm,0.38,μm,0.095,μm²,positive,no,,no,
Sarah Badawi,2,1,0.42,μm,0.42,μm,0.115,μm²,positive,no,,no,
Sarah Badawi,2,2,0.41,μm,0.43,μm,0.144,μm²,positive,no,,no,
Sarah Badawi,2,3,0.35,μm,0.39,μm,0.099,μm²,positive,no,,no,
Sarah Badawi,2,4,0.45,μm,0.43,μm,0.148,μm²,positive,no,,no,
Sarah Badawi,2,5,0.48,μm,0.48,μm,0.168,μm²,positive,no,,no,
Sarah Badawi,3,1,0.27,μm,0.28,μm,0.066,μm²,positive,no,,no,
Sarah Badawi,3,2,0.35,μm,0.32,μm,0.066,μm²,positive,no,,no,
Sarah Badawi,3,3,0.34,μm,0.32,μm,0.082,μm²,positive,no,,no,
Sarah Badawi,3,4,0.22,μm,0.27,μm,0.045,μm²,positive,no,,no,
Sarah Badawi,3,5,0.19,μm,0.27,μm,0.049,μm²,positive,no,,no,
Sarah Badawi,4,1,0.18,μm,0.21,μm,0.029,μm²,positive,no,,no,
Sarah Badawi,4,2,0.22,μm,0.15,μm,0.025,μm²,positive,no,,no,
Sarah Badawi,4,3,0.19,μm,0.25,μm,0.033,μm²,positive,no,,no,
Sarah Badawi,4,4,0.21,μm,0.21,μm,0.037,μm²,positive,no,,no,
Sarah Badawi,4,5,0.25,μm,0.17,μm,0.041,μm²,positive,no,,no,
Sarah Badawi,5,1,0.3,μm,0.35,μm,0.066,μm²,negative,no,,no,
Sarah Badawi,5,2,0.26,μm,0.28,μm,0.058,μm²,negative,no,,no,
Sarah Badawi,5,3,0.29,μm,0.3,μm,0.061,μm²,negative,no,,no,
Sarah Badawi,5,4,0.26,μm,0.25,μm,0.065,μm²,negative,no,,no,
Sarah Badawi,5,5,0.28,μm,0.3,μm,0.062,μm²,negative,no,,no,
Sarah Badawi,6,1,1.26,μm,0.32,μm,0.296,μm²,positive,no,,no,
Sarah Badawi,6,2,1.11,μm,0.33,μm,0.222,μm²,positive,no,,no,
Sarah Badawi,6,3,1.2,μm,0.32,μm,0.255,μm²,positive,no,,no,
Sarah Badawi,6,4,1.36,μm,0.26,μm,0.226,μm²,positive,no,,no,
Sarah Badawi,6,5,1.72,μm,0.4,μm,0.575,μm²,positive,no,,no,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Erika Velasco,M1,1,1.14,μm,0.77,μm,0.701,μm²,negative,no,NA,yes,
Erika Velasco,M1,2,1.29,μm,1.01,μm,0.949,μm²,negative,no,NA,yes,
Erika Velasco,M1,3,1.2,μm,0.74,μm,0.653,μm²,negative,no,NA,yes,
Erika Velasco,M1,4,1.31,μm,0.6,μm,0.709,μm²,negative,no,NA,yes,
Erika Velasco,M1,5,1.25,μm,0.74,μm,0.757,μm²,negative,no,NA,yes,
Erika Velasco,M2,1,1.6,μm,1.35,μm,1.387,μm²,positive,no,NA,no,
Erika Velasco,M2,2,1.56,μm,1.31,μm,1.566,μm²,positive,no,NA,no,
Erika Velasco,M2,3,1.21,μm,0.97,μm,0.98,μm²,positive,no,NA,no,
Erika Velasco,M2,4,1.51,μm,1.24,μm,1.441,μm²,positive,no,NA,no,
Erika Velasco,M2,5,1.54,μm,1.15,μm,1.316,μm²,positive,no,NA,no,
Erika Velasco,M3,1,1.31,μm,1.31,μm,1.16,μm²,positive,no,NA,no,
Erika Velasco,M3,2,1.8,μm,1.33,μm,1.371,μm²,positive,no,NA,no,
Erika Velasco,M3,3,1.29,μm,1.21,μm,1.043,μm²,positive,no,NA,no,
Erika Velasco,M3,4,1.71,μm,1.04,μm,1.355,μm²,positive,no,NA,no,
Erika Velasco,M3,5,1.37,μm,1.24,μm,1.098,μm²,positive,no,NA,no,
Erika Velasco,M4,1,1.21,μm,1.13,μm,0.953,μm²,positive,no,NA,no,
Erika Velasco,M4,2,1,μm,0.96,μm,0.617,μm²,positive,no,NA,no,
Erika Velasco,M4,3,1.21,μm,0.96,μm,0.777,μm²,positive,no,NA,no,
Erika Velasco,M4,4,1.03,μm,0.94,μm,0.657,μm²,positive,no,NA,no,
Erika Velasco,M4,5,1.07,μm,0.9,μm,0.674,μm²,positive,no,NA,no,
Erika Velasco,M5,1,0.71,μm,0.83,μm,0.594,μm²,negative,no,NA,no,
Erika Velasco,M5,2,0.96,μm,0.83,μm,0.691,μm²,negative,no,NA,no,
Erika Velasco,M5,3,0.83,μm,0.83,μm,0.555,μm²,negative,no,NA,no,
Erika Velasco,M5,4,0.91,μm,1.21,μm,0.945,μm²,negative,no,NA,no,
Erika Velasco,M5,5,1.09,μm,0.88,μm,0.828,μm²,negative,no,NA,no,
Erika Velasco,M6,1,1.64,μm,0.71,μm,1.094,μm²,positive,no,NA,no,
Erika Velasco,M6,2,1.7,μm,0.58,μm,0.738,μm²,positive,no,NA,no,
Erika Velasco,M6,3,1.34,μm,0.7,μm,0.727,μm²,positive,no,NA,no,
Erika Velasco,M6,4,1.11,μm,0.73,μm,0.746,μm²,positive,no,NA,no,
